name,address,city,state,zip,lat,lng,phone,website
Bookworm of Edwards,295 Main Street C101,Edwards,Colorado,81632,39.6447,-106.5945,,https://bookwormofedwards.com
Wishes the Toy Store,240 Chapel Pl #B112,Avon,Colorado,81620,39.6314,-106.5222,,
Marley & Moose,520 Mountain Ave,Berthoud,Colorado,80513,40.3083,-105.0811,,https://marleyandmoose.com
Chautauqua General Store,100 Clematis Dr,Boulder,Colorado,80302,40.0007,-105.2810,,https://chautauqua.com
Clothes Pony & Dandelion Toys,111 North College Ave,Fort Collins,Colorado,80524,40.5853,-105.0844,,https://clothespony.com
REI - Boulder,1789 28th St,Boulder,Colorado,80301,40.0172,-105.2592,,https://www.rei.com/stores/boulder
REI - Grand Junction,925 Independent Ave,Grand Junction,Colorado,81505,39.0639,-108.5506,,https://www.rei.com/stores/grand-junction
Composition Shop,356 Main Street,Longmont,Colorado,80501,40.1672,-105.1019,,https://www.compositionshop.com
Young Explorers Shop + Play Space,545 Briggs St,Erie,Colorado,80516,40.0508,-105.0500,,https://youngexplorersco.com
Sunflower Farm Store,11150 Prospect Road,Longmont,Colorado,80504,40.1575,-105.1186,,https://www.sunflowerfarminfo.com
Sudden Fiction,221 Perry St,Castle Rock,Colorado,80104,39.3722,-104.8561,,https://suddenfictionbooks.com
Kaleidoscope Toys,116 F St,Salida,Colorado,81201,38.5347,-106.0000,,https://www.kaltoys.com
"Once Upon a Trapeze Bookstore","301 E Main Street, Suite 105",Buena Vista,Colorado,81211,38.8422,-106.1311,,https://www.onceuponatrapeze.com
Stork & Bear Company,610 Main Street,Frisco,Colorado,80443,39.5744,-106.0975,,https://storkandbearco.com
O' Toys,539 Main Street,Ouray,Colorado,81427,38.0228,-107.6714,,https://www.otoysouray.com
REI - Dillon,306 Dillon Ridge Rd,Dillon,Colorado,80435,39.6311,-106.0436,,https://www.rei.com/stores/dillon
REI - Glenwood Springs,3216 S Glen Ave Suite A,Glenwood Springs,Colorado,81601,39.5506,-107.3248,,https://www.rei.com/stores/glenwood-springs
Peak a Boo Toys,117 South Main Street,Breckenridge,Colorado,80424,39.4817,-106.0384,,https://peakabootoysusa.com
REI - Fort Collins,4025 S College Avenue,Fort Collins,Colorado,80525,40.5561,-105.0780,,https://www.rei.com/stores/fort-collins
REI - Loveland,1605 Fall River Dr,Loveland,Colorado,80538,40.3978,-105.0750,,https://www.rei.com/stores/loveland
Townie Books,414 Elk Avenue,Crested Butte,Colorado,,38.8697,-106.9878,,
Explore Books,221 E Main St,Aspen,Colorado,81611,39.1911,-106.8175,,https://explorebooks.org
Sofi Stella,15155 S Dixie Hwy,Monroe,Michigan,48161,41.9164,-83.3977,,https://sofistella.com
Mudpuddles,407 N 5th Ave,Ann Arbor,Michigan,48104,42.2808,-83.7430,,https://mudpuddlesa2.com
